And,2
This,1
Is,1
The,2
Snack,1
Holder,1
Where,1
I,5
Can,2
Put,1
My,2
Beverage,1
Or,1
If,1
You,4
Will,1
Cupcake,1
Well,2
I'M,3
Better,1
Than,1
Dirt,3
Most,1
Kinds,1
Of,1
Mean,1
Not,1
That,3
Fancy,1
Store,1
Bought,1
Stuffs,1
Loaded,1
With,2
Nutrients,1
Can'T,1
Compete,1
Stuff,1
When,1
Catch,1
Gonna,2
Pull,1
Out,1
Your,3
Eyes,1
Stick,1
'Em,1
Down,1
Pants,1
So,1
Watch,1
Me,1
Kick,1
Crap,1
Outta,1
Okay,1
Next,1
Use,1
Tongue,1
To,1
Paint,1
Boat,1
